::Date=2023_08_21::Hour=05_00_03 PM:::
::Type=Spot::WebEdge=35.52::X=96.92::Y=211.55::Width=32.70::Height=32.70::Size=3.53::Image=Spot18.bmp::Meters=3473.479::Lap=7084::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_16 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=86.68::Y=341.76::Width=32.70::Height=32.70::Size=5.05::Image=Spot19.bmp::Meters=3504.858::Lap=7148::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_22 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=51.22::Y=15.14::Width=32.70::Height=32.70::Size=4.42::Image=Spot20.bmp::Meters=3508.291::Lap=7155::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_23 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=113.28::Y=365.01::Width=32.70::Height=32.70::Size=12.77::Image=Spot21.bmp::Meters=3529.864::Lap=7199::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_28 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=113.28::Y=365.21::Width=32.70::Height=32.70::Size=10.79::Image=Spot22.bmp::Meters=3530.354::Lap=7200::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_28 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=131.60::Y=337.23::Width=32.70::Height=32.70::Size=7.57::Image=Spot23.bmp::Meters=3531.335::Lap=7202::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_28 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=134.16::Y=405.39::Width=32.70::Height=32.70::Size=4.54::Image=Spot24.bmp::Meters=3537.218::Lap=7214::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_29 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=133.96::Y=371.31::Width=32.70::Height=32.70::Size=5.67::Image=Spot26.bmp::Meters=3537.709::Lap=7215::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_30 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=133.96::Y=1.35::Width=32.70::Height=32.70::Size=6.21::Image=Spot25.bmp::Meters=3537.709::Lap=7215::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_30 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=304.76::Y=316.74::Width=32.70::Height=32.70::Size=15.45::Image=Spot27.bmp::Meters=3541.141::Lap=7222::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_30 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=304.76::Y=306.89::Width=32.70::Height=32.70::Size=5.74::Image=Spot29.bmp::Meters=3541.631::Lap=7223::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_30 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=304.56::Y=185.74::Width=32.70::Height=32.70::Size=12.26::Image=Spot28.bmp::Meters=3541.631::Lap=7223::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_30 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=134.75::Y=214.50::Width=32.70::Height=32.70::Size=5.78::Image=Spot30.bmp::Meters=3567.127::Lap=7275::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_36 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=134.75::Y=214.50::Width=32.70::Height=32.70::Size=4.58::Image=Spot31.bmp::Meters=3567.617::Lap=7276::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_36 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=92.00::Y=155.79::Width=32.70::Height=32.70::Size=3.45::Image=Spot32.bmp::Meters=3579.384::Lap=7300::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_39 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=131.20::Y=229.87::Width=32.70::Height=32.70::Size=3.30::Image=Spot33.bmp::Meters=3586.739::Lap=7315::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_40 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=141.64::Y=147.13::Width=32.70::Height=32.70::Size=5.78::Image=Spot34.bmp::Meters=3627.433::Lap=7398::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_49 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=151.49::Y=281.48::Width=32.70::Height=32.70::Size=3.73::Image=Spot35.bmp::Meters=3660.774::Lap=7466::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_56 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=120.56::Y=58.67::Width=32.70::Height=32.70::Size=6.33::Image=Spot38.bmp::Meters=3662.245::Lap=7469::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=136.52::Y=192.44::Width=32.70::Height=32.70::Size=7.18::Image=Spot37.bmp::Meters=3662.245::Lap=7469::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=120.56::Y=435.14::Width=32.70::Height=32.70::Size=7.68::Image=Spot36.bmp::Meters=3662.245::Lap=7469::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=120.56::Y=171.55::Width=32.70::Height=32.70::Size=7.61::Image=Spot40.bmp::Meters=3662.735::Lap=7470::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=400.90::Y=292.32::Width=32.70::Height=32.70::Size=9.55::Image=Spot39.bmp::Meters=3662.735::Lap=7470::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=136.32::Y=192.63::Width=32.70::Height=32.70::Size=5.86::Image=Spot41.bmp::Meters=3662.735::Lap=7470::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=120.56::Y=434.94::Width=32.70::Height=32.70::Size=5.08::Image=Spot42.bmp::Meters=3662.735::Lap=7470::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=400.90::Y=28.73::Width=32.70::Height=32.70::Size=4.77::Image=Spot43.bmp::Meters=3663.225::Lap=7471::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_21_57 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=123.32::Y=313.79::Width=32.70::Height=32.70::Size=5.05::Image=Spot44.bmp::Meters=3683.818::Lap=7513::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_22_02 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=106.58::Y=364.22::Width=32.70::Height=32.70::Size=4.77::Image=Spot46.bmp::Meters=3684.308::Lap=7514::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_22_02 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=123.52::Y=51.98::Width=32.70::Height=32.70::Size=5.43::Image=Spot45.bmp::Meters=3684.308::Lap=7514::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_22_02 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=123.32::Y=163.87::Width=32.70::Height=32.70::Size=4.15::Image=Spot47.bmp::Meters=3684.799::Lap=7515::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_22_02 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=98.11::Y=211.74::Width=32.70::Height=32.70::Size=5.08::Image=Spot48.bmp::Meters=3685.289::Lap=7516::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=275::Hour=06_22_02 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Spot::WebEdge=35.52::X=117.22::Y=16.52::Width=32.70::Height=32.70::Size=5.90::Image=Spot49.bmp::Meters=3693.624::Lap=7533::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=274::Hour=06_22_04 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=526.19::Y=456.61::Width=32.70::Height=32.70::Size=58.80::Image=Color8.bmp::Meters=3710.294::Lap=7567::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=257::Hour=06_22_08 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
::Type=Color::WebEdge=35.52::X=637.10::Y=456.61::Width=32.70::Height=32.70::Size=49.99::Image=Color9.bmp::Meters=3710.294::Lap=7567::ProcheckCode=0::EasyTrackReel=2::Reliable=False::Speed=257::Hour=06_22_08 PM::DetectionSystem=Lynex::MasterImage=Job1.bmp:::
